Description;Item no;Price
DV40-F5-535;90672251;64,959
DV40-F7-535;90672553;97,506
DV40-F7-635;90672555;113,255
DV40-F9-535;90672554;122,712
DV40-F9-635;90672556;150,612
DV50-G4-360;90672835;65,257
DV50-F5-535;90672836;91,955
DV50-F6-535;90672837;142,82
DV50-F7-535;90672838;146,11
DV50-F7-635;90672840;162,917
DV50-F7 CytyFlo-520;90672724;363,778
DV50-F7 CytyFlo-640;90672725;451,693
DV50-F9-535;90672839;173,619
DV50-F9-635;90672841;211,521
DV60-G4-360;90672842;123,607
DV60-F5-535;90672843;153,768
DV60-F6-535;90672844;197,869
DV60-F7-535;90672845;197,869
DV60-F7-635;90672847;228,319
DV60-F7 CytyFlo-520;90672728;451,693
DV60-F7 CytyFlo-640;90672729;451,693
DV60-F9-535;90672846;306,036
DV60-F9-635;90672848;334,974
DV80-G4-360;90672849;101,258
DV80-F5-535;90672850;138,307
DV80-F6-535;90672851;213,166
DV80-F7-535;90672852;213,166
DV80-F7-635;90672854;245,116
DV80-F7 CytyFlo-520;90672732;451,693
DV80-F7 CytyFlo-640;90672734;519,047
DV80-F9-535;90672853;270,323
DV80-F9-635;90672855;332,733
DV100-G4-360;90672856;91,204
DV100-F5-535;90672857;126,763
DV100-F6-535;90672858;226,818
DV100-F7-535;90672859;226,818
DV100-F7-635;90672861;255,026
DV100-F7 CytyFlo-520;90672736;493,389
DV100-F7 CytyFlo-640;90672737;563,303
DV100-F9-535;90672860;262,675
DV100-F9-635;90672862;315,925
DV120-G4-360;90672863;134,411
DV120-F5-535;90672864;192,318
DV120-F6-535;90672865;226,818
DV120-F7-535;90672866;226,818
DV120-F7-635;90672868;255,026
DV120-F7 CytyFlo-520;90672740;748,867
DV120-F7 CytyFlo-640;90672741;849,971
DV120-F9-535;90672867;262,675
DV120-F9-635;90672869;315,925
DV150-G4-360;90672870;207,019
DV150-F5-535;90672871;311,875
DV150-F6-535;90672872;372,928
DV150-F7-535;90672873;372,928
DV150-F7-635;90672875;469,693
DV150-F7 CytyFlo-520;90672744;980,136
DV150-F7 CytyFlo-640;90672745;1122,843
DV150-F9-535;90672874;493,543
DV150-F9-635;90672876;578,6
DV190-G4-360;90672877;178,368
DV190-F5-535;90672878;255,026
DV190-F6-535;90672879;487,241
DV190-F7-535;90672880;487,241
DV190-F7-635;90672882;522,193
DV190-F7 CytyFlo-520;90672748;989,933
DV190-F7 CytyFlo-640;90672749;1149,098
DV190-F9-535;90672881;525,349
DV190-F9-635;90672883;630,349
DV240-G4-360;90672884;250,369
DV240-F5-535;90672885;347,731
DV240-F6-535;90672886;666,956
DV240-F7-535;90672887;666,956
DV240-F7-635;90672889;696,511
DV240-F7 CytyFlo-520;90672752;1347,112
DV240-F7 CytyFlo-640;90672753;1547,387
DV240-F9-535;90672888;662,31
DV240-F9-635;90672890;784,271
DV10-G4-44;90670135;13,734
DV15-G4-44;90670136;14,927
DV20-G4-44;90670137;22,02
DV25-G4-44;90670138;24,251
DV30-G4-44;90670139;24,518
DV40-G4-44;90670140;43,813
DV50-G4-44;90670141;47,401
DV60-G4-44;90670142;63,068
DV80-G4-44;90670143;64,815
DV100-G4-44;90670144;81,736
DV120-G4-44;90670145;114,858
DV150-G4-44;90670146;155,711
DV190-G4-25;90670147;92,325
DV240-G4-25;90670148;131,348
DV40-F6-535;90670083;91,718
DV10-F7-640;90672805;47,257
DV10-F9-640;90672806;67,056
DV15-F7-640;90672812;53,25
DV15-F9-640;90672813;60,601
DV20-F7-640;90672819;64,805
DV20-F9-640;90672820;86,712
DV25-F7-640;90672826;73,204
DV25-F9-640;90672827;89,703
DV30-F7-640;90672833;83,854
DV30-F9-640;90672834;102,759
DV40-F7-640;90672555;113,255
DV40-F9-640;90672556;150,612
DV50-F7-640;90672840;162,917
DV50-F9-640;90672841;211,521
DV60-F7-640;90672847;228,319
DV60-F9-640;90672848;334,974
DV80-F7-640;90672854;245,116
DV80-F9-640;90672855;332,733
DV100-F7-640;90672861;255,026
DV100-F9-640;90672862;315,925
DV120-F7-640;90672868;255,026
DV120-F9-640;90672869;315,925
DV150-F7-640;90672875;469,693
DV150-F9-640;90672876;578,6
DV190-F7-640;90672882;522,193
DV190-F9-640;90672883;630,349
DV240-F7-640;90672889;696,511
DV240-F9-640;90672890;784,271
DV10-F5-520;90672801;30,902
DV10-F6-520;90672802;40,174
DV10-F7-520;90672803;41,099
DV10-F9-520;90672804;50,588
DV15-F5-520;90672808;27,756
DV15-F6-520;90672809;45,756
DV15-F7-520;90672810;45,756
DV15-F9-520;90672811;46,959
DV20-F5-520;90672815;43,207
DV20-F6-520;90672816;57,918
DV20-F7-520;90672817;59,254
DV20-F9-520;90672818;66,727
DV25-F5-520;90672822;34,356
DV25-F6-520;90672823;59,542
DV25-F7-520;90672824;60,909
DV25-F9-520;90672825;68,043
DV30-F5-520;90672829;40,956
DV30-F6-520;90672830;68,485
DV30-F7-520;90672831;70,058
DV30-F9-520;90672832;80,801
DV40-F5-520;90672251;64,959
DV40-F7-520;90672553;97,506
DV40-F9-520;90672554;122,712
DV50-F5-520;90672836;91,955
DV50-F6-520;90672837;142,82
DV50-F7-520;90672838;146,11
DV50-F9-520;90672839;173,619
DV60-F5-520;90672843;153,768
DV60-F6-520;90672844;197,869
DV60-F7-520;90672845;197,869
DV60-F9-520;90672846;306,036
DV80-F5-520;90672850;138,307
DV80-F6-520;90672851;213,166
DV80-F7-520;90672852;213,166
DV80-F9-520;90672853;270,323
DV100-F5-520;90672857;126,763
DV100-F6-520;90672858;226,818
DV100-F7-520;90672859;226,818
DV100-F9-520;90672860;262,675
DV120-F5-520;90672864;192,318
DV120-F6-520;90672865;226,818
DV120-F7-520;90672866;226,818
DV120-F9-520;90672867;262,675
DV150-F5-520;90672871;311,875
DV150-F6-520;90672872;372,928
DV150-F7-520;90672873;372,928
DV150-F9-520;90672874;493,543
DV190-F5-520;90672878;255,026
DV190-F6-520;90672879;487,241
DV190-F7-520;90672880;487,241
DV190-F9-520;90672881;525,349
DV240-F5-520;90672885;347,731
DV240-F6-520;90672886;666,956
DV240-F7-520;90672887;666,956
DV240-F9-520;90672888;662,31
DV40-F6-520;90670083;91,718
2.2-20;90811199;145,01
9.1-20;90811203;184,793
9.1-54;90811254;250,668
3.0-20;90811302;231,814
4.1-20;90811304;296,671
5.6-20;90811306;283,008
10.0-20;90811310;387,33
13.0-20;90811312;403,469
16.0-20;90811314;531,939
24.0-20;90811316;630,185
32.0-20;90811318;790,799
37.5-20;90811320;945,349
44.0-20;90811322;1116,038
